Vendor_SSN,Vendor_STREET,Vendor_CITY,Vendor_STATE,Vendor_Country,Vendor_zip,Vendor_email,Vendor_phone
259-18-9018,15 Banding Plaza,Newton,Massachusetts,United States,02162,vtreharne0@senate.gov,617-375-1085
366-49-2100,145 Forest Court,Norfolk,Virginia,United States,23509,hmiles1@about.me,757-314-8288
371-06-3579,514 Hanover Crossing,Cincinnati,Ohio,United States,45228,gmorfell2@ftc.gov,513-268-1954
123-72-2593,621 Glacier Hill Alley,Orlando,Florida,United States,32825,aranald3@twitpic.com,954-836-9715
300-33-2584,970 Hoffman Way,Virginia Beach,Virginia,United States,23459,dhancell4@oaic.gov.au,757-693-4840
146-46-5796,0 Arrowood Road,Biloxi,Mississippi,United States,39534,fcammack5@nasa.gov,228-309-4132
436-35-9064,9 Twin Pines Hill,Atlanta,Georgia,United States,31136,sfullagar6@walmart.com,404-456-7165
796-45-0606,2627 Memorial Street,Lansing,Michigan,United States,48919,kswaby7@boston.com,517-241-7159
884-29-8183,9520 Forest Run Road,Omaha,Nebraska,United States,68117,yford8@naver.com,402-484-0427
136-67-7832,6555 Judy Terrace,Wilmington,Delaware,United States,19810,hbazylets9@fastcompany.com,302-851-6603
